,MAE,MSE,RMSE,MAPE,WAPE
BAFGNN,0.440308,0.373402,0.611066,4.743907,0.727510
BigST,0.383549,0.295396,0.543503,4.267771,3.257314
DFDGCN,0.387206,0.303724,0.551112,4.389520,3.523325
HimNet,0.383541,0.296822,0.544813,4.251318,3.584443
iTransformer,0.463726,0.483429,0.695290,6.412598,4.679503
PDFormer,0.413737,0.353146,0.594261,4.359859,3.473768
STDN,0.415753,0.352166,0.593436,4.439197,3.471770
STGCN,0.445175,0.388550,0.623338,4.478443,3.635317
STID,0.414945,0.351248,0.592662,4.251317,3.327277
STPGNN,0.415291,0.352610,0.593810,4.916319,3.822276
